Categoria,Instancia,MelhorExec,Veiculos,Distancia
C1,C101,4,13,1220.30
C1,C102,7,11,1281.25
C1,C103,7,12,1403.89
C1,C104,1,10,1225.17
C1,C105,6,12,1335.11
C1,C106,5,11,1188.60
C1,C107,5,13,1293.76
C1,C108,9,12,1218.42
C1,C109,10,11,1253.42
R1,R101,2,22,1936.83
R1,R102,5,20,1860.53
R1,R103,8,16,1561.43
R1,R104,4,12,1303.63
R1,R105,8,17,1701.59
R1,R106,6,16,1560.02
R1,R107,6,13,1392.83
R1,R108,7,11,1222.47
R1,R109,8,15,1606.10
RC1,RC101,7,20,2199.68
RC1,RC102,4,16,1868.03
RC1,RC103,4,14,1628.39
RC1,RC104,4,12,1443.78
RC1,RC105,7,18,1862.72
RC1,RC106,6,16,1829.89
RC1,RC107,9,14,1732.91
RC1,RC108,9,13,1532.31
