Execução,Timestamp,Melhor Fitness,Fitness Médio,Desvio Padrão,Arquivo
1,20250626_171839,10680.77,10680.77,0.0,multi_stats_20250626_171839.txt
2,20250626_172023,10898.98,10898.98,0.0,multi_stats_20250626_172023.txt
3,20250626_172202,10967.43,10967.43,0.0,multi_stats_20250626_172202.txt
4,20250626_172344,10806.28,10806.28,0.0,multi_stats_20250626_172344.txt
5,20250626_172512,10800.62,10800.62,0.0,multi_stats_20250626_172512.txt
6,20250626_172640,10950.54,10950.54,0.0,multi_stats_20250626_172640.txt
7,20250626_172813,11111.37,11111.37,0.0,multi_stats_20250626_172813.txt
8,20250626_172930,10759.01,10759.01,0.0,multi_stats_20250626_172930.txt
9,20250626_173105,11084.22,11084.22,0.0,multi_stats_20250626_173105.txt
10,20250626_173255,10817.46,10817.46,0.0,multi_stats_20250626_173255.txt
