Execução,Timestamp,Melhor Fitness,Fitness Médio,Desvio Padrão,Arquivo
1,20250627_001708,5716.36,5716.36,0.0,multi_stats_20250627_001708.txt
2,20250627_001820,5793.59,5793.59,0.0,multi_stats_20250627_001820.txt
3,20250627_001930,5515.32,5515.32,0.0,multi_stats_20250627_001930.txt
4,20250627_002047,5758.23,5758.23,0.0,multi_stats_20250627_002047.txt
5,20250627_002157,5716.55,5716.55,0.0,multi_stats_20250627_002157.txt
6,20250627_002309,5800.52,5800.52,0.0,multi_stats_20250627_002309.txt
7,20250627_002423,5881.08,5881.08,0.0,multi_stats_20250627_002423.txt
8,20250627_002537,5747.63,5747.63,0.0,multi_stats_20250627_002537.txt
9,20250627_002709,5805.79,5805.79,0.0,multi_stats_20250627_002709.txt
10,20250627_002819,5597.3,5597.3,0.0,multi_stats_20250627_002819.txt
