Execução,Timestamp,Melhor Fitness,Fitness Médio,Desvio Padrão,Arquivo
1,20250627_011401,7511.53,7511.53,0.0,multi_stats_20250627_011401.txt
2,20250627_011508,7246.31,7246.31,0.0,multi_stats_20250627_011508.txt
3,20250627_011615,7571.37,7571.37,0.0,multi_stats_20250627_011615.txt
4,20250627_011726,7302.79,7302.79,0.0,multi_stats_20250627_011726.txt
5,20250627_011833,7514.06,7514.06,0.0,multi_stats_20250627_011833.txt
6,20250627_011945,7258.8,7258.8,0.0,multi_stats_20250627_011945.txt
7,20250627_012056,7727.2,7727.2,0.0,multi_stats_20250627_012056.txt
8,20250627_012227,7442.42,7442.42,0.0,multi_stats_20250627_012227.txt
9,20250627_012337,7483.42,7483.42,0.0,multi_stats_20250627_012337.txt
10,20250627_012449,7456.06,7456.06,0.0,multi_stats_20250627_012449.txt
